Letter,Count_all,Count_uppercase,Percentage %
a,45,5,10.417
b,7,1,1.62
c,5,0,1.157
d,13,0,3.009
e,50,2,11.574
f,5,0,1.157
g,10,0,2.315
h,19,0,4.398
i,38,2,8.796
j,1,0,0.231
k,8,1,1.852
l,20,0,4.63
m,7,0,1.62
n,38,3,8.796
o,22,0,5.093
p,13,3,3.009
q,1,0,0.231
r,25,0,5.787
s,20,1,4.63
t,39,1,9.028
u,11,2,2.546
v,8,0,1.852
w,16,6,3.704
x,1,0,0.231
y,8,0,1.852
z,2,0,0.463
