Letter,Count_all,Count_uppercase,Percentage %
a,45,6,10.321
b,7,1,1.606
c,5,0,1.147
d,13,1,2.982
e,51,2,11.697
f,5,0,1.147
g,11,1,2.523
h,19,0,4.358
i,38,2,8.716
j,1,1,0.229
k,8,1,1.835
l,20,1,4.587
m,6,2,1.376
n,38,3,8.716
o,22,0,5.046
p,13,6,2.982
q,1,0,0.229
r,25,0,5.734
s,21,1,4.817
t,40,3,9.174
u,13,2,2.982
v,8,0,1.835
w,16,6,3.67
x,1,0,0.229
y,7,0,1.606
z,2,0,0.459
